Vds(Vtg=4),,Vds(Vtg=-1.25),,Vds(Vt=-1.75),,Vds(Vtg=-2.5),
X,Y,X,Y,X,Y,X,Y
24.21135695497445,392.8790432127138,6.711104234359681,56.17195820694326,12.386232743651888,51.33630428541119,9.666055126986578,-4.464345900139506
26.166692454484476,426.4832347744382,7.823783244795138,73.98494551174042,15.869438622649184,68.03852478271097,11.024481235064542,-2.580983410103727
28.26169477538808,452.5408060089558,8.468910943613082,61.16359317572676,17.24353442100616,80.5767142268661,12.488655079340504,-4.913455416994225
30.21703027489812,490.7875519604541,10.105007994223513,83.23877466951296,18.51295064211665,78.24424221997538,14.155345814637144,-4.831058308055049
32.312032595801725,526.7426540429576,11.749972779525606,93.92927136776154,20.289047054171576,89.19671946972267,15.822036549933784,-4.203572632288342
34.26736809531175,561.3148675838263,12.758677600701404,102.04221747868542,22.116354634070845,100.67469436529097,17.286210394209746,-1.8203947122045747
36.22270359482178,597.6848362288204,14.283373734247917,117.08497172602347,22.605188508948345,92.23907426131905,18.633995220657752,-4.304984458674994
38.29908367287291,624.651162790698,16.110681314147172,135.3851967603233,24.071690133580873,109.24860332342644,20.282063713101905,-4.710631764221148
40.27304141523541,664.2017750814518,17.75564609944928,149.36773645907465,24.560524008458387,100.60554993820926,21.930132205546073,-4.203572632288342
42.29821032544224,694.8426340539588,18.935054813439436,156.63558401677733,25.92544976298649,113.81213551082112,23.47004844142394,-2.658992507324001
44.32337923564906,732.8720689489144,20.370519366651166,171.948769801146,27.299545561343464,126.21203610081284,24.78997664360496,-3.486446145697869
46.278714735159085,770.9607704956545,22.127098235716502,186.55207280080901,28.568961782453954,123.42321087518269,26.390159368714194,-4.203572632288342
48.37371705606269,801.107740703292,23.76131941937294,201.08776791621426,30.345953494646025,133.07683665620982,28.069652895971913,-4.831058308055162
50.329052555572716,837.201131639959,24.892232709268114,208.038703516459,32.18310937605381,141.96987373933803,29.638410586267597,-3.486446145697869
,,26.357147210930265,223.47519686245687,33.88645858242019,150.04381530165165,30.958338788448614,-2.658992507324001
,,28.122027953994504,241.1761701953817,35.22951730935637,160.52303736159502,32.49825502432648,-4.203572632288342
,,29.747241875665182,252.10098967429622,36.62773737686314,160.84417481181902,34.17134715560367,-4.831058308055162
,,31.179179488942736,262.27290316943186,38.306962314079726,168.88301228038347,35.783750727584845,-3.3777906174266263
,,32.62240331000966,276.808598284837,40.13337459384185,180.46736321761614,37.14217683566281,-1.8203947122045747
,,34.26736809531175,290.62595963000433,40.62220846871935,170.57971014492762,38.606350679938785,-4.913455416994225
,,35.912332880613846,303.8517519879166,41.98713422324745,183.7862957175396,40.27304141523541,-4.831058308055049
,,36.88612099644125,312.42950230311214,43.36123002160443,196.69325543946388,41.93973215053205,-4.203572632288342
,,38.45737273711896,326.5003932142457,44.728413017690414,197.5045500505562,43.403905994808014,-1.8203947122045747
,,40.13337459384185,344.61623310966104,46.40674265476986,204.80620155038775,44.75169082125602,-4.304984458674994
,,41.74730230772313,357.9380593940758,48.23405023466911,213.93326592517712,46.39975931370019,-4.710631764221148
,,43.19052612879007,367.5721829007979,49.972126234233585,222.04621203610088,48.04782780614434,-4.203572632288342
,,44.65350081348841,380.0181797755106,50.88771984114702,229.44927536231899,49.58774404202222,-2.658992507324001
,,46.278714735159085,396.9816125528969,14.021352313167242,65.11627906976753,50.72265905222734,-3.8716793822959517
,,47.92367952046118,412.8694653534561,,,,
,,49.3669033415281,419.9682932005145,,,,
,,50.678219609056654,429.56016177957554,,,,
